x (m),y (m),time (sec)
0.8967,-0.05065,14.442
0.8967,-0.03564,14.478
0.9004,-0.005627,14.52
0.9004,0.01313,14.562
0.9004,0.03564,14.597999999999999
0.9004,0.05815,14.64
0.9004,0.06941,14.682
0.9042,0.09942,14.718
0.9042,0.1219,14.76
0.9079,0.1407,14.802
0.9117,0.1594,14.838
0.9154,0.1707,14.879999999999999
0.9229,0.2007,14.922
0.9267,0.2157,14.958
0.9267,0.2307,15.0
0.9192,0.2345,15.041999999999998
0.9192,0.2345,15.078000000000001
0.9117,0.2345,15.120000000000001
0.9079,0.2382,15.161999999999999
0.9004,0.2457,15.198000000000002
0.8892,0.257,15.24
0.8854,0.2607,15.281999999999998
0.8704,0.2795,15.318000000000001
0.8554,0.2908,15.36
0.8404,0.302,15.402
0.8254,0.3095,15.437999999999999
0.8141,0.317,15.48
0.7879,0.332,15.521999999999998
0.7691,0.3433,15.557999999999998
0.7503,0.3545,15.600000000000001
0.7316,0.3658,15.642
0.7241,0.3733,15.677999999999999
0.6978,0.3921,15.72
0.6791,0.4071,15.761999999999999
0.6603,0.4183,15.797999999999998
0.6378,0.4333,15.84
0.6303,0.4371,15.882
0.6003,0.4558,15.918
0.5778,0.4671,15.96
0.5553,0.4746,16.002
0.5365,0.4858,16.038
0.5252,0.4896,16.080000000000002
0.4915,0.4971,16.122
0.469,0.5009,16.157999999999998
0.4577,0.5046,16.200000000000003
0.4314,0.5046,16.242
0.4202,0.5046,16.278
0.3939,0.4971,16.32
0.3789,0.4896,16.362
0.3752,0.4858,16.398
0.3527,0.4633,16.44
0.3452,0.4596,16.482
0.3377,0.4371,16.518
0.3339,0.4183,16.560000000000002
0.3339,0.4071,16.602
0.3377,0.3846,16.637999999999998
0.3414,0.3658,16.68
0.3527,0.3508,16.722
0.3602,0.3358,16.758
0.3677,0.3283,16.8
0.3864,0.3095,16.842
0.3977,0.2945,16.878
0.4127,0.2833,16.919999999999998
0.4277,0.2682,16.962
0.4314,0.2607,16.998
0.4577,0.2382,17.04
0.4727,0.2232,17.082
0.4877,0.2082,17.118
0.5027,0.197,17.16
0.514,0.1895,17.202
0.5402,0.1707,17.238
0.5553,0.1594,17.279999999999998
0.5778,0.1519,17.322
0.5965,0.1407,17.358
0.604,0.1369,17.4
0.634,0.1257,17.442
0.6528,0.1182,17.478
0.6678,0.1069,17.52
0.6753,0.09567,17.562
0.6791,0.09192,17.598
0.6941,0.06941,17.64
0.7053,0.0544,17.682000000000002
0.7091,0.03939,17.718
0.7166,0.02063,17.759999999999998
0.7203,0.009379,17.802
0.7278,-0.01688,17.838
0.7316,-0.03564,17.88
0.7316,-0.05815,17.922
0.7316,-0.08066,17.958000000000002
0.7278,-0.08817,18.0
0.7241,-0.1219,18.042
0.7166,-0.1369,18.078
0.7128,-0.1594,18.12
0.7091,-0.182,18.162000000000003
0.7091,-0.1895,18.198
0.7053,-0.2157,18.24
0.7016,-0.2345,18.282
0.7016,-0.2495,18.318
0.6941,-0.2607,18.36
0.6903,-0.2682,18.401999999999997
0.6753,-0.2795,18.438000000000002
0.6641,-0.2833,18.48
0.6566,-0.2833,18.522
0.6453,-0.2833,18.558
0.6378,-0.2833,18.6
0.619,-0.2682,18.642
0.6115,-0.257,18.678
0.604,-0.242,18.72
0.6003,-0.227,18.762
0.6003,-0.2195,18.798000000000002
0.5965,-0.1932,18.84
0.5965,-0.1745,18.881999999999998
0.5965,-0.1557,18.918000000000003
0.5965,-0.1332,18.96
0.5965,-0.1219,19.002
0.6003,-0.09192,19.038
0.6003,-0.07316,19.080000000000002
0.604,-0.0544,19.122
0.604,-0.03189,19.157999999999998
0.6003,-0.02063,19.2
0.5965,0.009379,19.241999999999997
0.589,0.03189,19.278
0.5778,0.05065,19.32
0.5703,0.06941,19.362
0.5665,0.07691,19.398
0.5478,0.1069,19.44
0.5365,0.1257,19.482
0.5252,0.1407,19.517999999999997
0.514,0.1594,19.560000000000002
0.5065,0.167,19.602
0.4877,0.1932,19.637999999999998
0.4727,0.2045,19.68
0.454,0.2157,19.722
0.439,0.227,19.758
0.4277,0.2307,19.8
0.4014,0.242,19.842
0.3864,0.2457,19.878
0.3677,0.242,19.92
0.3564,0.2382,19.962
0.3489,0.2307,19.997999999999998
0.3339,0.2157,20.040000000000003
0.3264,0.2007,20.082
0.3226,0.1857,20.118
