time (µs),x,y,head direction (˚)
1650048194709726.00, 408.1014, 109.0026, 200.9826
1650048194751273.75, 407.9619, 109.9898, 196.6872
1650048194799878.50, 410.7894, 111.3919, 194.5182
1650048194841646.25, 412.2820, 113.4290, 190.3460
1650048194883228.75, 416.4609, 117.3202, 176.0335
1650048194924806.00, 419.4877, 117.2907, 171.3489
1650048195131585.75, 421.3418, 116.3191, -99.0000
1650048195241180.00, 431.6998, 105.2790, -99.0000
1650048195287933.50, 433.8615, 101.9771, 148.0346
1650048195324643.25, 433.8919, 101.8694, 154.3148
1650048195363360.75, 435.1977, 102.0806, 155.6325
1650048195394473.75, 435.8516, 103.2805, 159.2771
1650048195431727.50, 436.1386, 107.0550, 155.1222
1650048195469108.75, 436.2195, 108.6285, 157.1783
1650048195505091.25, 435.0844, 111.1923, 167.9952
1650048195542077.50, 433.0513, 115.5913, 166.4333
1650048195578662.75, 432.2983, 118.4087, 171.6399
1650048195615383.75, 429.8441, 124.2941, 179.2679
1650048195651146.75, 425.4733, 128.2322, 186.5625
1650048195694683.00, 423.1347, 129.0471, 194.7795
1650048195739680.75, 418.4479, 131.1588, 201.2101
1650048195770415.75, 415.0610, 134.6198, 206.3517
1650048195816870.25, 412.0029, 135.9590, 207.1703
1650048195857172.75, 409.8163, 138.1212, 205.8247
1650048195896734.75, 409.0796, 139.5226, 202.1948
1650048195928623.75, 408.9492, 140.8620, 200.5475
1650048195972690.00, 409.6556, 145.9140, 197.3232
1650048196013191.00, 409.5769, 146.7241, 194.2427
1650048196053916.75, 409.7214, 147.6781, 194.0832
1650048196095911.50, 410.8898, 151.6856, 193.5081
1650048196136848.00, 410.7580, 152.7223, 195.1248
1650048196180250.25, 411.3557, 155.9848, 196.2753
1650048196219079.75, 411.0732, 158.2887, 201.2948
1650048196259678.50, 411.4763, 160.7712, 202.3354
1650048196293793.25, 410.8595, 162.5975, 204.3911
1650048196340701.25, 410.7766, 163.0411, 204.4305
1650048196379302.00, 410.2001, 166.0347, 203.6767
1650048196430520.25, 408.7412, 171.8873, 204.7245
1650048196468524.00, 405.3968, 177.9860, 204.8691
1650048196498194.50, 401.5332, 184.9594, 206.2542
1650048196534865.50, 399.3143, 187.3364, 206.0431
1650048196570291.25, 395.6193, 191.7226, 205.5738
1650048196606866.00, 391.6764, 196.2709, 208.1907
1650048196702870.25, 390.8178, 198.5645, 208.3167
1650048196750446.00, 387.8324, 209.0905, 212.9319
1650048196798441.50, 387.1447, 213.5790, 211.8030
1650048196835767.25, 386.4224, 216.7433, 210.0754
1650048196883575.50, 385.6303, 222.0865, 204.8640
1650048196922878.25, 385.0426, 226.8039, 200.3676
1650048196969442.75, 384.5332, 229.4805, 196.6531
1650048197006580.00, 384.1369, 233.5050, 200.6970
1650048197043215.00, 383.8366, 235.4518, 202.0018
1650048197080032.50, 383.1362, 238.8399, 201.2174
1650048197117458.75, 383.0787, 239.0851, 198.2884
1650048197161518.00, 385.5789, 237.9862, 191.8594
1650048197214904.00, 390.9726, 237.6550, 182.9593
1650048197319832.25, 397.7957, 238.6408, 176.1386
1650048197368928.00, 415.2238, 239.5378, 157.0026
1650048197405522.75, 420.3126, 240.0662, 153.4267
1650048197442630.50, 425.3038, 240.8952, 151.6317
1650048197478100.25, 428.5418, 242.3141, 150.3318
1650048197514994.00, 429.3172, 242.3574, 149.4205
1650048197554042.25, 429.4611, 240.6053, 146.4164
1650048197584302.00, 431.9287, 238.6698, 144.9318
1650048197627465.25, 432.8287, 238.0087, 141.7063
1650048197664248.75, 433.7779, 237.9325, 145.9756
1650048197702222.25, 436.6563, 240.1893, 143.3190
1650048197739082.25, 437.1121, 241.3635, 149.7320
1650048197805943.00, 436.7669, 244.9994, -99.0000
1650048197886190.25, 435.9206, 251.3582, -99.0000
1650048197948850.25, 431.6508, 262.9447, -99.0000
1650048198054988.25, 427.4002, 273.3347, -99.0000
1650048198091955.00, 426.3336, 284.6142, 178.4471
1650048198127825.50, 426.2500, 287.8237, 178.2990
1650048198161800.75, 426.7093, 290.3770, 181.9157
1650048198198597.00, 427.7007, 293.1255, 179.0715
1650048198248660.00, 431.3372, 298.7013, 174.4310
1650048198292041.75, 433.8215, 303.5778, 179.7344
1650048198336696.75, 437.9825, 309.6736, 178.1044
1650048198377721.00, 441.0216, 314.4358, 173.6546
1650048198414958.00, 444.7607, 320.7899, 169.6066
1650048198461291.50, 446.1915, 324.0436, 172.8606
1650048198507871.50, 446.9245, 326.0470, 173.5414
1650048198551149.00, 446.3500, 326.7770, 174.8335
1650048198594042.00, 447.6301, 328.9509, 173.4851
1650048198634982.50, 450.2072, 332.3323, 171.1768
1650048198738199.25, 450.7469, 333.9003, -99.0000
1650048198826728.00, 448.1896, 336.0586, -99.0000
1650048198891715.50, 441.5941, 334.2506, -99.0000
1650048198983083.50, 432.2873, 331.4385, -99.0000
1650048199041349.00, 410.4694, 325.7079, 240.2813
1650048199076907.00, 392.8538, 319.1101, 263.3232
1650048199152621.75, 383.2752, 312.9653, 275.1530
1650048199189721.00, 372.9929, 303.2102, 288.0097
1650048199228360.25, 366.6025, 296.7059, 291.0987
1650048199265242.25, 363.6065, 294.5644, 289.5810
1650048199305755.00, 358.5909, 292.9982, 284.7190
1650048199351342.25, 354.2112, 291.8355, 282.6167
1650048199390861.25, 353.4387, 290.8727, 282.7315
1650048199431641.75, 346.0352, 290.1495, 285.7691
1650048199475280.50, 342.7122, 290.5123, 287.4478
1650048199522571.00, 336.1501, 290.5398, 287.3540
1650048199566423.25, 331.9227, 292.0254, 283.8990
1650048199609821.50, 325.9008, 294.8108, 280.0481
1650048199655677.50, 322.6789, 296.1903, 274.9246
1650048199709779.00, 317.2002, 303.9573, 260.2171
1650048199760201.50, 314.5120, 309.1476, 252.4963
1650048199802714.50, 312.5977, 313.9716, 249.2759
1650048199841831.75, 308.4167, 319.4013, 245.1503
1650048199879490.25, 304.8210, 322.5762, 252.6760
1650048199912712.00, 300.9934, 325.5017, 258.2305
1650048199955149.75, 299.4603, 327.1972, 253.4193
1650048199994154.50, 298.5676, 329.8854, 251.1896
1650048200036851.50, 295.3081, 335.8706, 245.4591
1650048200113888.25, 293.4205, 338.9058, 237.6097
1650048200162108.00, 294.1914, 351.2971, 225.3345
1650048200199019.25, 293.5859, 356.9673, 223.7228
1650048200232777.50, 291.6760, 365.2859, 222.3446
1650048200275983.25, 286.3529, 368.5445, 230.9314
1650048200308556.00, 282.3895, 371.8367, 236.0050
1650048200343762.75, 279.7726, 374.7545, 235.1899
1650048200380726.25, 275.0615, 379.6505, 236.9797
1650048200458027.75, 272.5422, 382.1027, -99.0000
1650048200495438.75, 264.9823, 386.6406, 237.4967
1650048200540610.50, 263.1254, 387.7074, 237.3128
1650048200579670.25, 260.9129, 389.7690, 235.0171
1650048200620789.25, 257.3759, 392.8819, 235.9454
1650048200658115.50, 255.3969, 394.6943, 240.4483
