time,x,y,head direction
1648415069034509.25, 493.7160, 210.8826, 334.6897
1648415069084840.75, 488.5504, 211.0684, 322.0983
1648415069278062.00, 478.8621, 210.2282, -99.0000
1648415069337910.75, 460.7538, 207.7434, 320.8296
1648415069372754.25, 458.8150, 205.2661, 321.2304
1648415069424251.50, 453.9222, 202.7553, 319.2874
1648415069474692.50, 450.3246, 199.7192, 319.5433
1648415069516016.75, 446.9986, 195.6016, 315.3053
1648415069568987.25, 441.1840, 191.4732, 312.4388
1648415069610350.25, 435.1863, 183.8645, 328.9108
1648415069657281.50, 433.7951, 180.7788, 331.6465
1648415069702449.00, 431.1410, 176.5898, 331.6523
1648415069757216.25, 426.8101, 173.8693, 322.2990
1648415069796938.00, 424.1064, 171.8910, 317.2831
1648415069834682.25, 423.1157, 172.6634, 319.9024
1648415069866947.75, 423.8119, 172.6458, 322.8236
1648415069905671.00, 420.4664, 170.7828, 319.5239
1648415069940699.75, 419.4233, 168.2088, 324.5842
1648415069974977.25, 418.9523, 166.7881, 326.6999
1648415070010276.00, 418.0046, 163.5928, 327.4813
1648415070071110.00, 417.4211, 162.0401, 327.7511
1648415070114250.75, 415.6388, 156.5405, 336.0892
1648415070152773.75, 414.0705, 153.7519, 329.6520
1648415070204195.25, 413.9594, 153.6997, 326.1779
1648415070243347.50, 413.2363, 154.2659, 329.5232
1648415070281928.75, 411.0846, 154.1302, 330.1857
1648415070328464.50, 409.2267, 153.3216, 325.3195
1648415070366793.75, 408.1670, 152.1048, 327.4942
1648415070408078.00, 408.0638, 151.6256, 331.1226
1648415070447728.25, 408.4982, 149.7325, 336.1296
1648415070484593.00, 409.1351, 147.3585, 336.5060
1648415070521821.75, 410.4335, 142.6162, 335.3040
1648415070559380.75, 411.2796, 139.5120, 337.1169
1648415070597751.75, 413.2373, 135.4262, 340.6095
1648415070642487.75, 413.6672, 131.2231, 339.4739
1648415070829607.50, 412.0583, 128.0016, -99.0000
1648415070867791.75, 398.2681, 120.1569, 341.5922
1648415070902525.00, 396.5707, 117.4739, 344.9742
1648415070964641.25, 399.2890, 114.4745, -99.0000
1648415071031952.00, 404.4408, 109.8700, -99.0000
1648415071070807.00, 416.7888, 101.1849, 15.6726
1648415071137245.75, 425.5754, 95.5273, -99.0000
1648415071174114.00, 434.1002, 92.3620, 33.7281
1648415071216348.25, 439.1712, 91.3527, 38.8028
1648415071260201.50, 443.6512, 89.8059, 42.1566
1648415071295941.50, 446.4743, 89.5025, 44.6782
1648415071344457.75, 448.2042, 88.1488, 45.0702
1648415071378826.50, 449.8228, 84.0589, 39.7108
1648415071412023.75, 448.9958, 80.2307, 31.0642
1648415071449035.75, 447.3974, 75.9606, 24.3121
1648415071484875.75, 447.3619, 73.4526, 23.4993
1648415071519164.25, 446.0870, 69.5496, 21.5954
1648415071554462.00, 445.8169, 67.3095, 20.2889
1648415071589655.75, 445.6301, 61.8946, 21.6784
1648415071625216.50, 446.0725, 59.9993, 24.1829
1648415071659171.75, 447.9454, 57.2484, 28.1928
1648415071723913.75, 450.1713, 54.9330, -99.0000
1648415071759113.50, 451.6539, 54.5099, 34.9408
1648415071790173.00, 451.0517, 54.9112, 36.1049
1648415071823763.75, 449.4999, 55.6021, -99.0000
1648415071857690.00, 446.4970, 56.2616, 26.3172
1648415071894271.50, 443.4381, 57.8854, 16.7623
1648415071935017.75, 440.3308, 58.8768, 12.8429
1648415071967365.50, 434.3341, 61.1768, 2.6275
1648415072005361.75, 425.7359, 63.6136, 349.9764
1648415072089495.25, 419.8457, 64.6027, -99.0000
1648415072125818.50, 402.0157, 72.6870, 317.3525
1648415072166826.25, 395.8218, 73.8644, 317.3054
1648415072204523.00, 394.2598, 74.4789, 314.0494
1648415072253131.50, 389.7760, 75.0198, 306.0229
1648415072292696.25, 383.8859, 75.5437, 302.6820
1648415072338475.75, 378.1927, 75.1386, 301.9175
1648415072376589.00, 371.1563, 73.5498, 302.1633
1648415072414622.50, 367.2025, 70.7628, 315.5907
1648415072444815.75, 364.2967, 67.5858, 319.8403
1648415072482491.75, 363.6039, 66.2459, 319.8542
1648415072519112.00, 364.1267, 64.2101, 322.7514
1648415072557401.75, 363.5738, 62.8616, 322.2901
1648415072596274.00, 360.3627, 60.1392, 319.6843
1648415072640530.25, 359.2050, 60.5663, 314.1928
1648415072677555.00, 356.0738, 61.8509, 309.6632
1648415072713419.00, 353.6365, 63.5877, 304.0523
1648415072832353.50, 351.1217, 67.9300, -99.0000
1648415073036233.50, 342.3328, 85.0681, -99.0000
1648415073080164.50, 320.7091, 116.1249, 239.1144
1648415073119893.25, 316.7591, 121.2083, 237.2221
1648415073160320.25, 315.6108, 122.8024, 240.4535
1648415073213805.75, 311.8644, 126.7880, 247.0754
1648415073255931.00, 308.5858, 131.2766, 245.1495
1648415073292616.25, 307.3494, 135.2878, 244.4320
1648415073328754.75, 303.8239, 139.6286, 238.8141
1648415073365516.50, 299.9367, 141.6965, 236.9820
1648415073401999.75, 297.9256, 142.2515, 234.9940
1648415073437133.00, 293.0511, 144.4712, 236.8810
1648415073473132.00, 287.6535, 146.9612, 244.8228
1648415073508695.75, 285.2172, 147.8213, 246.6729
1648415073546487.25, 281.1242, 149.1924, 256.1223
1648415073585107.00, 277.4428, 151.3200, 259.3714
1648415073630847.75, 275.9385, 151.9884, 259.1822
1648415073667601.00, 272.0589, 155.4898, 254.7447
1648415073701471.50, 265.6488, 162.5180, 251.5678
1648415073822629.75, 258.6638, 170.6231, 249.4611
1648415073869961.75, 245.4509, 184.4423, 250.5201
1648415073910386.00, 240.3205, 186.2314, 254.5743
1648415073949829.00, 235.2045, 186.3511, 262.7476
1648415073991122.00, 229.1101, 186.4818, 267.6527
1648415074032565.25, 225.0704, 187.1043, 264.6734
1648415074117251.50, 215.7725, 189.5885, -99.0000
1648415074154822.00, 201.2289, 187.9990, 267.6125
1648415074189708.75, 196.3679, 184.9578, 276.7871
1648415074229454.50, 192.1155, 183.8766, 273.8505
1648415074268228.00, 189.1976, 183.6781, 275.9102
1648415074304138.25, 185.2184, 182.6547, 282.8693
1648415074345316.25, 181.1461, 180.8009, 285.3846
1648415074385275.75, 177.8940, 179.1562, 286.8851
1648415074461386.00, 172.2931, 177.7066, -99.0000
1648415074501835.75, 163.0696, 175.6758, 283.9774
1648415074540509.75, 160.2747, 174.6892, 277.9889
1648415074578663.00, 157.5870, 174.6487, 275.7371
1648415074620052.50, 154.6815, 174.7730, 279.7530
1648415074659135.25, 149.6762, 174.2649, 278.1325
1648415074697542.50, 143.5787, 170.3518, 289.3033
1648415074736143.25, 142.2058, 169.0638, 289.7416
1648415074770272.00, 137.8419, 168.7820, 289.8229
1648415074804422.25, 133.9249, 168.9530, 286.1272
1648415074845536.50, 132.1241, 169.1918, 284.3189
1648415074881866.50, 128.2740, 169.2498, 282.3535
1648415074915819.75, 127.1288, 170.6049, 276.8764
1648415074950988.25, 126.2567, 171.0857, 274.6975
1648415074984391.25, 123.6481, 172.5879, 267.7118
1648415075020756.75, 122.2360, 174.3902, 264.9828
1648415075053572.75, 120.5363, 176.4505, 264.2683
1648415075087495.50, 119.2239, 178.0550, 263.1536
1648415075121861.25, 118.4350, 180.1834, 262.5998
1648415075154614.25, 118.0411, 181.2593, 264.1756
1648415075242600.25, 115.6745, 185.1963, -99.0000
1648415075334733.25, 118.3336, 196.7045, -99.0000
1648415075385365.25, 124.4141, 209.3850, 226.5183
1648415075424817.00, 125.0035, 211.7281, 228.9465
1648415075470462.00, 124.6593, 215.2742, 226.9878
1648415075505924.50, 122.7763, 216.8484, 229.7895
1648415075544925.25, 121.6311, 218.5706, 225.0329
1648415075576726.50, 120.1238, 220.7282, 223.4580
1648415075618726.25, 117.3834, 223.6700, 221.7174
1648415075650194.50, 115.0777, 227.4299, 220.2682
1648415075688267.75, 114.0587, 229.8616, 221.9762
1648415075724851.25, 112.1890, 233.2871, 227.9728
1648415075766088.75, 110.4100, 236.9049, 230.6872
1648415075806461.25, 110.3629, 237.5095, 231.6393
1648415075845621.50, 110.4081, 239.2872, 227.2491
1648415075885180.25, 110.0910, 243.2368, 222.0942
1648415075922250.50, 111.1006, 245.5761, 212.7240
1648415075967241.00, 112.8906, 248.6908, 207.8101
1648415076006229.75, 114.9888, 252.6162, 197.5733
1648415076047102.25, 117.7063, 257.1542, 189.9365
1648415076086741.00, 118.5432, 260.9505, 194.0521
1648415076123703.50, 118.7111, 264.0972, 194.2271
1648415076156975.00, 118.5207, 268.0533, 197.9830
1648415076193726.25, 118.0781, 268.7306, 199.7605
1648415076239790.50, 118.1529, 272.7911, 201.9552
1648415076283958.50, 118.8279, 276.3724, 201.0524
1648415076330617.00, 120.1303, 279.9647, 196.2094
1648415076370792.25, 121.2975, 285.4010, 192.5207
1648415076410182.75, 121.8166, 287.1857, 189.4337
1648415076442255.00, 122.5532, 288.9497, 186.8803
1648415076484925.25, 123.5908, 292.8432, 184.0920
1648415076517227.00, 124.2479, 296.9900, 183.2518
1648415076556666.25, 124.9975, 299.9490, 181.1279
1648415076594806.75, 125.7338, 306.0720, 188.5776
1648415076636048.25, 124.4014, 312.8496, 195.1160
1648415076668916.00, 121.9072, 319.2588, 204.0466
1648415076705637.50, 120.8562, 321.0259, 203.6189
1648415076748109.00, 118.9448, 326.0674, 199.7675
1648415076789748.75, 118.3486, 332.2752, 197.8100
1648415076829500.00, 118.3995, 334.0622, 195.0312
