time (ms),membrane voltage (mV)
110.94,-49.34408
110.944,-49.2728
110.948,-49.34408
110.952,-49.5577
110.956,-49.77132
110.96,-49.91366
110.964,-49.98472
110.968,-49.70004
110.972,-49.62876
110.976,-49.48642
110.98,-49.34408
110.984,-49.48642
110.988,-49.70004
110.992,-50.056
110.996,-50.3409
111.0,-50.62558
111.004,-50.69686
111.008,-50.62558
111.012,-50.41196
111.016,-50.056
111.02,-49.84238
111.024,-49.70004
111.028,-49.62876
111.032,-49.5577
111.036,-49.62876
111.04,-49.70004
111.044,-49.70004
111.048,-49.62876
111.052,-49.41536
111.056,-49.20174
111.06,-48.91684
111.064,-48.70322
111.068,-48.56088
111.072,-48.56088
111.076,-48.63216
111.08,-48.7745
111.084,-48.91684
111.088,-49.05918
111.092,-49.05918
111.096,-49.13046
111.1,-49.05918
111.104,-49.13046
111.108,-49.2728
111.112,-49.62876
111.116,-49.98472
111.12,-50.41196
111.124,-50.69686
111.128,-50.98154
111.132,-51.12388
111.136,-51.26644
111.14,-51.47984
111.144,-51.69346
111.148,-52.1207
111.152,-52.47666
111.156,-53.04624
111.16,-53.54454
111.164,-53.97178
111.168,-54.11412
111.172,-54.25646
111.176,-54.32774
111.18,-54.61242
111.184,-55.11094
111.188,-55.75158
111.192,-56.4635
111.196,-57.10436
111.2,-57.67394
111.204,-58.0299
111.208,-58.31458
111.212,-58.59948
111.216,-58.74182
111.22,-58.88416
111.224,-59.24012
111.228,-59.66736
111.232,-60.16566
111.236,-60.5929
111.24,-61.0912
111.244,-61.58972
111.248,-61.73206
111.252,-61.80312
111.256,-61.58972
111.26,-61.44716
111.264,-61.30482
111.268,-61.3761
111.272,-61.44716
111.276,-61.73206
111.28,-61.94568
111.284,-62.30164
111.288,-62.3727
111.292,-62.3727
111.296,-62.23036
111.3,-62.08802
111.304,-62.08802
111.308,-62.30164
111.312,-62.72866
111.316,-63.1559
111.32,-63.72548
111.324,-64.15272
111.328,-64.4374
111.332,-64.57974
111.336,-64.57974
111.34,-64.65102
111.344,-64.86464
111.348,-65.14932
111.352,-65.50528
111.356,-65.86124
111.36,-65.93252
111.364,-65.86124
111.368,-65.7189
111.372,-65.43422
111.376,-65.2206
111.38,-65.00698
111.384,-64.86464
111.388,-64.86464
111.392,-64.9357
111.396,-64.9357
111.4,-64.86464
111.404,-64.57974
111.408,-64.15272
111.412,-63.72548
111.416,-63.1559
111.42,-62.58632
111.424,-62.08802
111.428,-61.51844
111.432,-61.23354
111.436,-60.94886
111.44,-60.66418
111.444,-60.23694
111.448,-59.73864
