1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
53,48,55,69,75,67,72,65,71,50,59,42,54,69,78,79,63,32,75,61,45,64,70,79,56,55,51,57,58,64,57,49,68,46,68,65,49,79,59,42,49,66,56,48,52,68,32,71,74,48,39,68,59,59,59,54,70,34,78,66,78,75,63,56,76,57,55,65,55,81,77,50,28,75,73,46,43,58,53,56,76,73,77,37
58,68,52,69,66,69,70,70,58,64,62,49,68,63,73,82,60,43,83,68,67,55,64,80,66,55,48,62,72,66,56,66,73,54,76,67,60,77,65,50,44,61,49,44,45,69,36,78,77,42,24,66,64,57,56,76,70,38,69,61,71,62,65,52,60,51,56,71,68,80,68,47,41,69,76,64,55,59,51,76,77,79,85,42
63,69,50,77,82,69,58,72,53,60,66,61,74,73,81,72,48,56,78,75,70,53,53,62,73,60,47,65,70,66,59,64,70,61,74,72,54,65,57,53,42,67,45,40,47,68,42,61,62,38,24,64,70,57,55,78,67,53,57,60,75,57,68,47,52,65,59,79,69,82,75,60,67,50,80,48,52,62,72,55,79,47,61,52
71,59,61,72,69,73,66,58,70,44,69,67,78,60,63,67,54,62,68,63,56,65,38,52,77,58,58,73,60,64,79,58,57,76,67,63,44,45,60,52,51,66,49,34,48,54,45,65,52,43,26,73,69,66,60,78,69,70,54,54,78,66,75,51,54,57,69,65,71,60,78,61,74,51,76,32,60,61,78,54,76,55,75,59
74,68,50,69,72,72,62,64,66,54,65,76,64,69,67,55,56,67,79,54,62,65,48,65,75,51,64,73,50,55,81,63,48,49,71,47,50,51,59,42,52,62,74,45,48,64,49,62,68,46,42,75,71,63,68,75,59,76,53,61,83,73,70,63,42,60,60,67,77,66,76,51,58,67,85,38,69,68,86,48,72,76,70,62
72,74,52,71,78,71,69,72,45,47,70,80,73,71,70,74,68,69,83,59,68,75,54,85,78,64,62,68,53,56,63,68,51,55,47,51,67,73,58,33,69,67,52,55,66,56,56,54,81,52,51,82,71,60,68,84,55,77,44,76,74,75,71,66,40,56,56,74,63,82,75,66,65,56,71,65,78,65,87,59,39,70,76,68
84,52,66,60,80,62,74,65,45,46,72,58,72,80,70,84,70,46,85,50,75,87,65,87,70,70,68,69,58,60,61,60,49,64,39,63,56,76,63,38,43,37,64,52,70,72,70,39,64,54,52,78,70,61,66,69,60,77,46,72,84,75,71,72,70,60,55,71,51,81,72,49,49,58,69,76,83,74,68,64,41,72,64,75
59,62,64,43,66,70,66,55,48,51,65,59,77,78,76,90,62,53,88,40,70,70,68,75,75,76,65,67,68,60,71,64,66,60,46,70,65,78,54,36,61,47,75,46,63,77,73,38,71,67,58,70,76,68,73,35,80,80,55,66,82,83,45,54,62,54,58,60,53,74,77,41,45,65,69,60,81,74,79,62,47,71,46,75
60,73,66,55,64,45,55,64,46,57,72,72,79,80,51,76,47,65,78,38,50,54,75,78,53,61,70,63,66,52,72,74,77,53,56,73,76,83,68,54,68,53,35,61,58,75,55,41,74,43,56,78,69,66,66,60,62,65,54,68,73,73,51,58,69,49,53,52,51,75,73,40,57,50,58,36,78,83,86,43,63,47,37,77
65,76,74,60,67,47,65,69,53,29,70,70,83,78,55,62,56,65,80,37,60,45,79,82,37,68,46,61,58,60,72,61,64,70,65,78,69,77,66,65,76,54,47,67,52,70,64,46,77,65,74,78,75,78,66,71,42,66,50,65,59,67,56,66,67,47,65,67,67,68,78,48,68,44,71,57,62,79,79,44,65,57,33,58
